zone_id,zone_num_wells,zone_center_latitude,zone_center_longitude,zone_area_km2,zone_average_gradient,zone_average_bht,Name,Api,Country,Status,Well Type,Latitude,Longitude,True Vertical Depth (ft),True Vertical Depth (km),Interpolated gradient,BHT,Suitable for 
0,5,31.567891311645507,-103.28761749267578,0.31294995584762786,24.303990673679827,85.8686424522368,"UNIVERSITY ""18-31"" 3",4247532401,WARD,Plugged & Abandoned,WET GAS,31.56471824645996,-103.29052734375,6865.0,2.092,24.32078347390782,70.87907902741516,Suitable for heat generation
0,5,31.567891311645507,-103.28761749267578,0.31294995584762786,24.303990673679827,85.8686424522368,UNIVERSITY 18-29 4,4247532501,WARD,Plugged & Abandoned,CONDENSATE,31.56627655029297,-103.2828521728516,6825.0,2.08,24.31227699157901,70.56953614248434,Suitable for heat generation
0,5,31.567891311645507,-103.28761749267578,0.31294995584762786,24.303990673679827,85.8686424522368,"UNIV ""18-31"" 2",4247531939,WARD,Plugged & Abandoned,GAS WELL,31.5664176940918,-103.2878265380859,17067.0,5.202,24.31174203917909,146.4696820878096,Electricity generation
0,5,31.567891311645507,-103.28761749267578,0.31294995584762786,24.303990673679827,85.8686424522368,UNIVERSITY 18-31 4,4247532553,WARD,Plugged & Abandoned,WET GAS,31.56928634643555,-103.2877883911133,6850.0,2.088,24.29666798138354,70.73144274512883,Suitable for heat generation
0,5,31.567891311645507,-103.28761749267578,0.31294995584762786,24.303990673679827,85.8686424522368,UNIVERSITY 18-31 6,4247532765,WARD,Plugged & Abandoned,WET GAS,31.57275772094727,-103.2890930175781,6850.0,2.088,24.27848288234966,70.69347225834609,Suitable for heat generation
1,6,32.393398920694985,-102.16906483968097,0.4817205572278035,24.183267217784206,100.10922028102577,UNIVERSITY 7-28 5,4231736020,MARTIN,Plugged & Abandoned,OIL WELL,32.39749908447266,-102.1674118041992,10300.0,3.139,24.21457317174637,96.00954518611185,Suitable for heat generation
1,6,32.393398920694985,-102.16906483968097,0.4817205572278035,24.183267217784206,100.10922028102577,UNIVERSITY 7-28 B 3,4231737045,MARTIN,Plugged & Abandoned,OIL WELL,32.39408874511719,-102.1663360595703,11252.0,3.43,24.19582677760614,102.9916858471891,Electricity generation
1,6,32.393398920694985,-102.16906483968097,0.4817205572278035,24.183267217784206,100.10922028102577,UNIVERSITY 7-27 4,4231736264,MARTIN,Plugged & Abandoned,OIL WELL,32.3956184387207,-102.175666809082,11040.0,3.365,24.17790538005635,101.3586516038896,Electricity generation
1,6,32.393398920694985,-102.16906483968097,0.4817205572278035,24.183267217784206,100.10922028102577,UNIVERSITY 7-28 B 2,4231735245,MARTIN,Plugged & Abandoned,VOLATILE OIL,32.3930549621582,-102.1704330444336,10200.0,3.109,24.17698222378377,95.16623773374374,Suitable for heat generation
1,6,32.393398920694985,-102.16906483968097,0.4817205572278035,24.183267217784206,100.10922028102577,UNIVERSITY 7-28 B 1,4231736518,MARTIN,Plugged & Abandoned,OIL WELL,32.3904914855957,-102.1651916503906,10293.0,3.137,24.17608177059438,95.84036851435457,Suitable for heat generation
1,6,32.393398920694985,-102.16906483968097,0.4817205572278035,24.183267217784206,100.10922028102577,UNIVERSITY 7-28 B 7,4231738889,MARTIN,Plugged & Abandoned,VOLATILE OIL,32.38964080810547,-102.1693496704102,12125.0,3.696,24.15823398291824,109.2888328008658,Electricity generation
2,5,32.477362060546874,-102.18951416015628,0.36731594495310643,24.185950378957166,94.97019844332992,M.A.K. (SPRABERRY) UNIT 2908W,4231734084,MARTIN,Plugged & Abandoned,BLACK OIL,32.47668838500977,-102.1837997436523,8700.0,2.652,24.20391181962619,84.18877414564865,Suitable for heat generation
2,5,32.477362060546874,-102.18951416015628,0.36731594495310643,24.185950378957166,94.97019844332992,M.A.K.(SPRABERRY) UNIT 2906,4231710236,MARTIN,Plugged & Abandoned,VOLATILE OIL,32.47903060913086,-102.1888122558594,8660.0,2.64,24.18566919838483,83.85016668373595,Suitable for heat generation
2,5,32.477362060546874,-102.18951416015628,0.36731594495310643,24.185950378957166,94.97019844332992,"UNIVERSITY ""29"" 2",4231733928,MARTIN,Plugged & Abandoned,BLACK OIL,32.47496032714844,-102.1912994384766,12503.0,3.811,24.18404907494548,112.1654110246172,Electricity generation
2,5,32.477362060546874,-102.18951416015628,0.36731594495310643,24.185950378957166,94.97019844332992,"UNIVERSITY ""29"" 1",4231733892,MARTIN,Plugged & Abandoned,BLACK OIL,32.47383117675781,-102.1927032470703,12300.0,3.749,24.18147545662934,110.6563514869034,Electricity generation
2,5,32.477362060546874,-102.18951416015628,0.36731594495310643,24.185950378957166,94.97019844332992,M.A.K.(SPRABERRY) UNIT 2903W,4231710232,MARTIN,Plugged & Abandoned,BLACK OIL,32.4822998046875,-102.1909561157227,8686.0,2.647,24.17464634519999,83.99028887574437,Suitable for heat generation
3,5,31.692790985107422,-103.22376861572268,0.3740923423364381,24.18611596492703,94.59636738202698,UNIVERSITY 32 3,4249532699,WINKLER,Plugged & Abandoned,BLACK OIL,31.6902847290039,-103.2291641235352,7600.0,2.316,24.19281971547753,76.03057046104595,Suitable for heat generation
3,5,31.692790985107422,-103.22376861572268,0.3740923423364381,24.18611596492703,94.59636738202698,UNIVERSITY 32 1,4249532613,WINKLER,Plugged & Abandoned,BLACK OIL,31.68927574157715,-103.2258834838867,7630.0,2.326,24.18881092923403,76.26317422139836,Suitable for heat generation
