Name,Api,Country,Status,Well Type,Latitude,Longitude,True Vertical Depth (ft),True Vertical Depth (km)
CURT 1H,4225531315,KARNES,Plugged & Abandoned,BLACK OIL,29.197214126586918,-97.71250915527344,8293.490234375,2.528
WINTERSHALL-LYNCH 1,4225531286,KARNES,Plugged & Abandoned,Unknown,29.130353927612305,-97.74073028564452,10162.8896484375,3.098
GERTIE 1H,4225531302,KARNES,Plugged & Abandoned,BLACK OIL,29.1855525970459,-97.72498321533205,8477.5595703125,2.584
NESTE HOUSTON 14 1,4217332005,GLASSCOCK,Plugged & Abandoned,BLACK OIL,32.019466400146484,-101.7030258178711,11012.98046875,3.357
9703 JV-P HIGHTOWER -A- 1,4217332865,GLASSCOCK,Plugged & Abandoned,BLACK OIL,31.856311798095703,-101.54655456542967,8060.0,2.457
NEUMANN 2C 1,4217335242,GLASSCOCK,Plugged & Abandoned,VOLATILE OIL,31.892953872680664,-101.40830993652344,9867.0,3.007
BEDNAR 188 1,4217334903,GLASSCOCK,Plugged & Abandoned,BLACK OIL,32.05533599853516,-101.40977478027344,9820.0,2.993
SPECKLED TROUT 186 1,4217333853,GLASSCOCK,Plugged & Abandoned,BLACK OIL,32.05400848388672,-101.37515258789062,9823.0,2.994
8102 JV-P GIBSON 6D,4217331684,GLASSCOCK,Plugged & Abandoned,WATER DISPOSAL,31.87443733215332,-101.6064910888672,8360.0,2.548
SAN JACINTO NS 36-37 3 103H,4217336305,GLASSCOCK,Plugged & Abandoned,Unknown,31.69025039672852,-101.4299087524414,7720.10009765625,2.353
BEGO TRUST GAS UNIT 1 2,4225531571,KARNES,Plugged & Abandoned,DRY GAS,28.90034294128418,-97.67359924316406,13728.41015625,4.184
SCHOENFELD 2,4225531296,KARNES,Plugged & Abandoned,Dry Hole,29.155479431152344,-97.69546508789062,9532.349609375,2.905
SMOLIK - SCHORRE 1,4225531481,KARNES,Plugged & Abandoned,VOLATILE OIL,28.8287353515625,-97.7310791015625,6601.56982421875,2.012
