x,y,T1,T2,T3,gradient
-106.5833333333333,36.41666666666667,36.34286880493164,64.41403198242188,91.45415496826172,27.55564308166503
-106.4166666666667,36.41666666666667,37.04445266723633,65.39820098876953,92.72096252441406,27.83825492858886
-106.25,36.41666666666667,36.16867065429688,64.46759796142578,91.73731994628906,27.78432464599608
-106.0833333333333,36.41666666666667,38.51308441162109,67.28467559814453,95.02315521240234,28.25503540039062
-105.9166666666667,36.41666666666667,38.72438812255859,68.90482330322266,98.51579284667969,29.89570236206054
-105.75,36.41666666666667,38.52451705932617,68.18476104736328,97.2762680053711,29.37587547302245
-105.5833333333333,36.41666666666667,37.5164680480957,67.11354064941406,96.14306640625,29.31329917907713
-105.4166666666667,36.41666666666667,32.65610122680664,60.50828552246094,87.33977508544922,27.34183692932129
-105.25,36.41666666666667,32.39186859130859,60.27294921875,87.13301086425781,27.3705711364746
-105.0833333333333,36.41666666666667,33.9168701171875,62.40038681030273,89.85806274414062,27.97059631347656
-104.9166666666667,36.41666666666667,40.2615852355957,69.1963882446289,97.09136962890625,28.41489219665526
-104.75,36.41666666666667,41.42464447021484,70.55937957763672,98.64918518066406,28.61227035522461
-104.5833333333333,36.41666666666667,41.53830337524414,70.68128204345703,98.7790756225586,28.62038612365722
-104.4166666666667,36.41666666666667,39.16695022583008,67.69979095458984,95.19219207763672,28.01262092590331
-104.25,36.41666666666667,38.78636932373047,67.35980987548828,94.892333984375,28.05298233032225
-104.0833333333333,36.41666666666667,38.72733688354492,67.08349609375,94.39868927001953,27.83567619323729
-103.9166666666667,36.41666666666667,38.89256286621094,67.34832000732422,94.76101684570312,27.93422698974608
-103.75,36.41666666666667,38.35392761230469,66.088134765625,92.77893829345703,27.21250534057616
-103.5833333333333,36.41666666666667,38.96400451660156,66.71168518066406,93.4151611328125,27.22557830810547
-103.4166666666667,36.41666666666667,41.36436462402344,68.63945770263672,94.86588287353516,26.75075912475585
-103.25,36.41666666666667,42.3611946105957,69.93545532226562,96.45410919189453,27.04645729064941
-103.0833333333333,36.41666666666667,43.72052383422852,73.13456726074219,100.8196411132812,28.54955863952632
-102.9166666666667,36.41666666666667,44.37316131591797,75.74744415283203,104.3876571655273,30.00724792480466
-102.75,36.41666666666667,44.65172576904297,76.29542541503906,105.6466979980469,30.49748611450196
-102.5833333333333,36.41666666666667,44.92069625854492,76.69908905029297,106.5998992919922,30.83960151672363
-102.4166666666667,36.41666666666667,43.0196647644043,72.71650695800781,100.6008529663086,28.79059410095213
-102.25,36.41666666666667,43.0622444152832,72.77994537353516,100.7543334960938,28.84604454040529
-102.0833333333333,36.41666666666667,42.58684921264648,71.84440612792969,99.54495239257812,28.47905158996582
-101.9166666666667,36.41666666666667,42.82379913330078,72.16014862060547,100.1786193847656,28.6774101257324
-101.75,36.41666666666667,42.32118225097656,70.87306213378906,98.27863311767578,27.9787254333496
-101.5833333333333,36.41666666666667,42.5816650390625,71.16349792480469,98.66001892089844,28.03917694091797
-101.4166666666667,36.41666666666667,40.06063461303711,65.99459838867188,90.89361572265625,25.41649055480956
-101.25,36.41666666666667,40.12420272827148,66.10910034179688,91.25161743164062,25.56370735168456
-101.0833333333333,36.41666666666667,39.83704376220703,65.45455169677734,90.64295959472656,25.40295791625976
-100.9166666666667,36.41666666666667,39.48086929321289,65.08287048339844,90.25601959228516,25.38757514953613
-100.75,36.41666666666667,36.99209594726562,60.22705459594727,83.03568267822266,23.02179336547852
-100.5833333333333,36.41666666666667,37.01718902587891,60.25313568115234,83.06273651123047,23.02277374267577
-100.4166666666667,36.41666666666667,34.67182540893555,55.38571166992188,75.67571258544922,20.50194358825683
-100.25,36.41666666666667,34.82464599609375,55.54389953613281,75.83916473388672,20.50725936889648
-100.0833333333333,36.41666666666667,36.01906967163086,57.80966949462891,79.17508697509766,21.57800865173339
-99.91666666666667,36.41666666666667,36.09879684448242,57.8923454284668,79.26065063476562,21.58092689514159
-99.75,36.41666666666667,35.17112350463867,55.90256118774414,76.20974731445312,20.51931190490722
-99.58333333333334,36.41666666666667,35.28100967407227,56.01631164550781,76.32728576660156,20.52313804626463
-99.41666666666667,36.41666666666667,32.12985610961914,49.54550552368164,66.45709991455078,17.16362190246582
-99.25,36.41666666666667,32.2960090637207,49.71655654907227,66.6329116821289,17.16845130920409
-99.08333333333334,36.41666666666667,32.6619987487793,50.3425178527832,67.5184326171875,17.42821693420409
-98.91666666666667,36.41666666666667,32.99201202392578,50.68242645263672,67.86795806884766,17.43797302246093
-98.75,36.41666666666667,32.9305305480957,50.35671234130859,67.27816009521484,17.17381477355956
-98.58333333333334,36.41666666666667,32.94906234741211,50.37578964233398,67.29776763916016,17.17435264587402
-98.41666666666667,36.41666666666667,35.02973175048828,54.6225700378418,73.7916259765625,19.3809471130371
-98.25,36.41666666666667,34.87799835205078,54.46578979492188,73.6299057006836,19.3759536743164
-98.08333333333334,36.41666666666667,35.42400741577148,55.51077270507812,75.1733169555664,19.87465476989746
-97.91666666666667,36.41666666666667,33.6428108215332,51.88505172729492,69.62164306640625,17.98941612243652
-97.75,36.41666666666667,33.58082580566406,51.6541633605957,69.2220458984375,17.82061004638672
-97.58333333333334,36.41666666666667,33.59087753295898,51.62237548828125,69.14608764648438,17.77760505676269
-97.41666666666667,36.41666666666667,34.29594421386719,52.92767333984375,71.0584716796875,18.38126373291015
-97.25,36.41666666666667,34.36217880249023,52.98213577270508,71.10079193115234,18.36930656433105
-97.08333333333334,36.41666666666667,34.68721389770508,53.63021850585938,72.05135345458984,18.68206977844238
